GEOIDFQ,NAME,GEOTYPE,YEAR,FUEL_TYPE,FACILITIES,CAPACITY
0500000US39045,Fairfield County,COUNTY,2012,Solar,2,21000
0500000US39045,Fairfield County,COUNTY,2012,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2012,Wind,1,1500
0500000US39045,Fairfield County,COUNTY,2013,Biofuel,0,0
0500000US39045,Fairfield County,COUNTY,2013,Energy Storage,0,0
0500000US39045,Fairfield County,COUNTY,2013,Natural Gas/Propane,0,0
0500000US39045,Fairfield County,COUNTY,2013,Solar,4,32400
0500000US39045,Fairfield County,COUNTY,2013,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2013,Wind,0,0
0500000US39045,Fairfield County,COUNTY,2014,Biofuel,0,0
0500000US39045,Fairfield County,COUNTY,2014,Energy Storage,0,0
0500000US39045,Fairfield County,COUNTY,2014,Natural Gas/Propane,0,0
0500000US39045,Fairfield County,COUNTY,2014,Solar,0,0
0500000US39045,Fairfield County,COUNTY,2014,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2014,Wind,0,0
0500000US39045,Fairfield County,COUNTY,2015,Biofuel,0,0
0500000US39045,Fairfield County,COUNTY,2015,Energy Storage,0,0
0500000US39045,Fairfield County,COUNTY,2015,Natural Gas/Propane,0,0
0500000US39045,Fairfield County,COUNTY,2015,Solar,2,10700
0500000US39045,Fairfield County,COUNTY,2015,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2015,Wind,0,0
0500000US39045,Fairfield County,COUNTY,2016,Biofuel,0,0
0500000US39045,Fairfield County,COUNTY,2016,Energy Storage,0,0
0500000US39045,Fairfield County,COUNTY,2016,Natural Gas/Propane,0,0
0500000US39045,Fairfield County,COUNTY,2016,Solar,3,23600
0500000US39045,Fairfield County,COUNTY,2016,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2016,Wind,0,0
0500000US39045,Fairfield County,COUNTY,2017,Biofuel,0,0
0500000US39045,Fairfield County,COUNTY,2017,Energy Storage,0,0
0500000US39045,Fairfield County,COUNTY,2017,Natural Gas/Propane,0,0
0500000US39045,Fairfield County,COUNTY,2017,Solar,2,50000
0500000US39045,Fairfield County,COUNTY,2017,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2017,Wind,0,0
0500000US39045,Fairfield County,COUNTY,2018,Biofuel,0,0
0500000US39045,Fairfield County,COUNTY,2018,Energy Storage,0,0
0500000US39045,Fairfield County,COUNTY,2018,Natural Gas/Propane,0,0
0500000US39045,Fairfield County,COUNTY,2018,Solar,6,32000
0500000US39045,Fairfield County,COUNTY,2018,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2018,Wind,0,0
0500000US39045,Fairfield County,COUNTY,2019,Biofuel,0,0
0500000US39045,Fairfield County,COUNTY,2019,Energy Storage,0,0
0500000US39045,Fairfield County,COUNTY,2019,Natural Gas/Propane,0,0
0500000US39045,Fairfield County,COUNTY,2019,Solar,20,146800
0500000US39045,Fairfield County,COUNTY,2019,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2019,Wind,0,0
0500000US39045,Fairfield County,COUNTY,2020,Biofuel,0,0
0500000US39045,Fairfield County,COUNTY,2020,Energy Storage,0,0
0500000US39045,Fairfield County,COUNTY,2020,Natural Gas/Propane,0,0
0500000US39045,Fairfield County,COUNTY,2020,Solar,21,123700
0500000US39045,Fairfield County,COUNTY,2020,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2020,Wind,0,0
0500000US39045,Fairfield County,COUNTY,2021,Biofuel,0,0
0500000US39045,Fairfield County,COUNTY,2021,Energy Storage,0,0
0500000US39045,Fairfield County,COUNTY,2021,Natural Gas/Propane,0,0
0500000US39045,Fairfield County,COUNTY,2021,Solar,32,266945
0500000US39045,Fairfield County,COUNTY,2021,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2021,Wind,0,0
0500000US39045,Fairfield County,COUNTY,2022,Biofuel,0,0
0500000US39045,Fairfield County,COUNTY,2022,Energy Storage,1,3840
0500000US39045,Fairfield County,COUNTY,2022,Natural Gas/Propane,0,0
0500000US39045,Fairfield County,COUNTY,2022,Solar,50,338970
0500000US39045,Fairfield County,COUNTY,2022,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2022,Wind,0,0
0500000US39045,Fairfield County,COUNTY,2023,Biofuel,0,0
0500000US39045,Fairfield County,COUNTY,2023,Energy Storage,2,7240
0500000US39045,Fairfield County,COUNTY,2023,Natural Gas/Propane,0,0
0500000US39045,Fairfield County,COUNTY,2023,Solar,53,329850
0500000US39045,Fairfield County,COUNTY,2023,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2023,Wind,0,0
0500000US39045,Fairfield County,COUNTY,2024,Biofuel,0,0
0500000US39045,Fairfield County,COUNTY,2024,Energy Storage,1,442000
0500000US39045,Fairfield County,COUNTY,2024,Natural Gas/Propane,0,0
0500000US39045,Fairfield County,COUNTY,2024,Solar,40,357710
0500000US39045,Fairfield County,COUNTY,2024,Waste Gas,0,0
0500000US39045,Fairfield County,COUNTY,2024,Wind,0,0
0500000US39047,Fayette County,COUNTY,2000,Biofuel,0,0
0500000US39047,Fayette County,COUNTY,2000,Energy Storage,0,0
0500000US39047,Fayette County,COUNTY,2000,Natural Gas/Propane,0,0
0500000US39047,Fayette County,COUNTY,2000,Solar,0,0
